name,id,price,unit,size,weight
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 1.50 เมตร สี CHARCOAL GRAY,8852422120918,395.00 บาท,/ ชิ้น,76x150x0.35 ซม.,4.1 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 1.50 เมตร สี TERRA COTTA,8852422120925,395.00 บาท,/ ชิ้น,76x150x0.35 ซม.,4.1 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 1.50 เมตร สี WHITE PEARL,8852422120932,395.00 บาท,/ ชิ้น,76x150x0.35 ซม.,4.1 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 1.50 เมตร สี MOCHA,8852422120949,395.00 บาท,/ ชิ้น,76x150x0.35 ซม.,4.1 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี BLACK MICA,8852422120956,845.00 - 864.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี OCEAN BLUE,8852422120963,845.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี CHARCOAL GRAY,8852422120970,845.00 - 864.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี TERRA COTTA,8852422120987,845.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี WHITE PEARL,8852422120994,845.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 3.20 เมตร สี MOCHA,8852422121007,845.00 บาท,/ ชิ้น,76x320x0.35 ซม.,8.8 กก.
หลังคาเอสซีจี เมทัลรูฟ ลอน SSR760 - NoiseTECH 0.35 ขนาด 0.76 x 6.20 เมตร สี BLACK MICA,8852422121014,"1,635.00 บาท",/ ชิ้น,76x620x0.35 ซม.,17 กก.
